iter	Passed	Remaining
0	166	66595
1	188	37553
2	204	27122
3	218	21595
4	228	18027
5	237	15574
6	247	13869
7	255	12533
8	265	11519
9	273	10679
10	283	10012
11	292	9472
12	301	8989
13	311	8584
14	321	8257
15	331	7951
16	342	7707
17	352	7484
18	363	7289
19	372	7073
20	381	6880
21	391	6720
22	401	6578
23	411	6450
24	421	6328
25	432	6216
26	442	6119
27	452	6009
28	461	5901
29	470	5800
30	480	5717
31	489	5625
32	498	5541
33	507	5461
34	516	5388
35	526	5319
36	535	5253
37	545	5192
38	555	5138
39	565	5090
40	575	5038
41	584	4984
42	593	4928
43	604	4887
44	613	4840
45	623	4797
46	633	4760
47	645	4734
48	656	4699
49	664	4652
50	674	4616
51	683	4576
52	693	4537
53	705	4520
54	714	4481
55	724	4450
56	734	4420
57	745	4393
58	753	4353
59	761	4315
60	771	4287
61	780	4253
62	788	4218
63	798	4190
64	806	4158
65	814	4122
66	823	4091
67	832	4065
68	842	4042
69	850	4010
70	859	3982
71	869	3961
72	878	3933
73	887	3908
74	897	3887
75	905	3860
76	915	3839
77	923	3813
78	933	3793
79	943	3773
80	952	3750
81	962	3731
82	971	3709
83	980	3688
84	990	3671
85	999	3650
86	1007	3626
87	1016	3605
88	1024	3581
89	1034	3562
90	1042	3541
91	1052	3522
92	1061	3502
93	1070	3484
94	1079	3467
95	1089	3449
96	1098	3431
97	1107	3412
98	1116	3394
99	1124	3374
100	1135	3360
101	1144	3343
102	1153	3325
103	1162	3309
104	1172	3294
105	1182	3279
106	1191	3263
107	1201	3248
108	1210	3232
109	1220	3217
110	1230	3203
111	1239	3186
112	1248	3170
113	1258	3158
114	1267	3141
115	1275	3123
116	1284	3107
117	1293	3091
118	1302	3076
119	1310	3057
120	1319	3043
121	1329	3029
122	1335	3008
123	1344	2991
124	1353	2976
125	1362	2963
126	1371	2949
127	1380	2934
128	1389	2918
129	1400	2907
130	1409	2895
131	1419	2881
132	1428	2867
133	1437	2853
134	1446	2839
135	1454	2823
136	1463	2810
137	1472	2795
138	1481	2781
139	1490	2768
140	1499	2754
141	1508	2740
142	1518	2728
143	1526	2713
144	1535	2700
145	1544	2687
146	1554	2674
147	1564	2663
148	1574	2652
149	1585	2642
150	1595	2630
151	1603	2615
152	1614	2606
153	1623	2593
154	1633	2581
155	1642	2568
156	1651	2556
157	1660	2543
158	1670	2532
159	1680	2520
160	1691	2510
161	1700	2497
162	1709	2485
163	1718	2473
164	1728	2461
165	1737	2449
166	1746	2436
167	1755	2423
168	1764	2412
169	1774	2400
170	1783	2389
171	1792	2376
172	1802	2364
173	1810	2352
174	1819	2339
175	1829	2328
176	1838	2316
177	1846	2303
178	1855	2291
179	1865	2279
180	1873	2266
181	1882	2255
182	1892	2244
183	1902	2233
184	1911	2221
185	1921	2210
186	1930	2199
187	1940	2188
188	1950	2177
189	1958	2165
190	1968	2154
191	1977	2142
192	1988	2132
193	1998	2122
194	2007	2110
195	2016	2098
196	2025	2087
197	2035	2076
198	2044	2065
199	2053	2053
200	2064	2043
201	2073	2032
202	2082	2020
203	2092	2010
204	2100	1998
205	2109	1986
206	2119	1975
207	2128	1964
208	2137	1953
209	2146	1942
210	2156	1931
211	2164	1919
212	2173	1908
213	2182	1896
214	2191	1885
215	2199	1873
216	2209	1863
217	2219	1852
218	2228	1841
219	2237	1830
220	2246	1819
221	2256	1808
222	2264	1797
223	2274	1786
224	2283	1775
225	2292	1764
226	2301	1753
227	2311	1743
228	2319	1731
229	2328	1721
230	2337	1710
231	2346	1699
232	2356	1688
233	2365	1677
234	2375	1667
235	2385	1657
236	2394	1647
237	2404	1636
238	2413	1625
239	2422	1614
240	2431	1604
241	2440	1593
242	2451	1583
243	2459	1572
244	2468	1561
245	2478	1551
246	2487	1540
247	2496	1530
248	2504	1518
249	2513	1508
250	2523	1497
251	2532	1487
252	2541	1476
253	2550	1465
254	2558	1454
255	2568	1444
256	2577	1434
257	2586	1423
258	2594	1412
