species,total_transitions,shifted_transitions,stationary_transitions,pct_shifted,unique_source_cells,unique_target_cells,unique_months,unique_seasons
Sardinella longiceps,376,350,26,93.09,15,15,5,2
Stolephorus indicus,165,153,12,92.73,14,10,3,2
Rastrelliger kanagurta,148,136,12,91.89,11,12,4,2
Alepes kleinii,81,71,10,87.65,8,7,3,2
Sagitta pacifica,80,80,0,100.0,10,8,1,1
Amphioplus (Lymanella) depressus,77,67,10,87.01,7,7,7,3
Sagitta bipunctata,77,77,0,100.0,11,7,1,1
Sagitta enflata,77,77,0,100.0,11,7,1,1
Ophiuroglypha kinbergi,77,68,9,88.31,9,9,4,3
Clypeaster rarispinus,67,59,8,88.06,7,7,6,3
Pterosagitta draco,66,66,0,100.0,11,6,1,1
Skipjack Tuna,66,0,66,0.0,1,1,12,3
Silver Pomfret,66,0,66,0.0,1,1,12,3
Japanese Threadfin Bream,66,0,66,0.0,1,1,12,3
Indian Mackerel,66,0,66,0.0,1,1,12,3
Indian Oil Sardine,66,0,66,0.0,1,1,12,3
Narrow-barred King Mackerel,66,0,66,0.0,1,1,12,3
Yellowfin Tuna,66,0,66,0.0,1,1,12,3
Auxis sp,61,53,8,86.89,7,5,3,2
Mugil cephalus,59,55,4,93.22,10,10,5,3
Sagitta robusta,54,54,0,100.0,9,6,1,1
Sagitta bedoti,44,44,0,100.0,11,4,1,1
Sagitta regularis,42,42,0,100.0,7,6,1,1
Penaeus monodon,42,42,0,100.0,3,14,1,1
Sagitta pulchra,40,40,0,100.0,8,5,1,1
Sagitta neglecta,40,40,0,100.0,8,5,1,1
Undella hyalina,36,35,1,97.22,6,6,1,1
Sagitta hexaptera,36,36,0,100.0,6,6,1,1
Krohnitta subtilis,30,30,0,100.0,5,6,1,1
Trichodesmium erythraeum,30,29,1,96.67,2,15,1,1
Charybdis (Archias) smithii,29,26,3,89.66,6,6,5,3
Rhabdonella spiralis,25,22,3,88.0,5,5,1,1
Luidia hardwicki,24,21,3,87.5,6,6,5,3
Sagitta ferox,24,24,0,100.0,8,3,1,1
Codonellopsis orthoceros,20,20,0,100.0,5,4,1,1
Ophiodaphne scripta,19,13,6,68.42,3,3,5,3
Krohnitta pacifica,18,18,0,100.0,9,2,1,1
Eutintinnus lususundae,18,18,0,100.0,6,3,1,1
Astronesthes indopacificus,17,17,0,100.0,6,3,2,1
Tintinnopsis cylindrica,16,15,1,93.75,4,4,1,1
Leptopentacta imbricata,14,12,2,85.71,4,4,4,2
Chauliodus sloani,13,13,0,100.0,13,1,1,1
Munida andamanica,13,9,4,69.23,3,3,4,3
Epiplocylis reticulata,12,12,0,100.0,3,4,1,1
Bregmaceros macclelandi,12,12,0,100.0,3,4,1,1
Bathypectinura heros,10,7,3,70.0,3,3,5,3
Argyropelecus affinis,10,10,0,100.0,2,5,1,1
Cistopus platinoidus,9,5,4,55.56,2,2,4,3
Bathynomus keablei,8,6,2,75.0,3,3,3,3
Tokoyo eburnea,7,7,0,100.0,2,4,2,2
Stereomastis phosphorus,6,4,2,66.67,2,2,4,3
Codonella acera,6,5,1,83.33,3,2,1,1
Tintinnopsis incertum,6,6,0,100.0,3,2,1,1
Homolax megalops,6,5,1,83.33,3,3,4,3
Codonellopsis tessellata,6,6,0,100.0,2,3,1,1
Parilia alcocki,6,5,1,83.33,3,3,4,3
Undella globosa,6,6,0,100.0,2,3,1,1
Aristaeopsis edwardsiana,6,5,1,83.33,2,3,3,2
Himerometra robustipinna,6,3,3,50.0,2,2,4,3
Sthenoteuthis oualaniensis,6,6,0,100.0,4,4,4,3
Stellaster childreni,5,4,1,80.0,2,2,2,2
Abralia (Heterabralia) andamanica,5,5,0,100.0,4,4,3,3
Astropecten vappa,5,2,3,40.0,1,2,2,2
Goniodiscaster forficulatus,5,2,3,40.0,2,2,2,1
Climacodium frauenfeldianum,5,5,0,100.0,2,3,2,2
Mursia bicristimana,5,5,0,100.0,3,2,2,1
Trichiurus lepturus,5,5,0,100.0,4,4,3,3
Phyllidia alyta,5,4,1,80.0,3,2,2,1
Chaetoceros lorenzianus,5,5,0,100.0,2,3,2,2
Saurida tumbil,5,4,1,80.0,2,2,2,2
Ceramaster cuenoti,5,3,2,60.0,2,2,2,2
Petalotricha ampulla,5,5,0,100.0,1,5,1,1
Thalassionema nitzschioides,4,4,0,100.0,2,2,1,1
Thalassiothrix longissima,4,4,0,100.0,2,2,1,1
Strombidium sulcatum,4,3,1,75.0,1,4,1,1
Aplysia oculifera,4,4,0,100.0,1,4,1,1
Ascampbelliella armilla,4,4,0,100.0,2,2,1,1
Tintinnopsis radix,4,4,0,100.0,2,2,1,1
Dictyocysta magna,4,4,0,100.0,2,2,1,1
Planktoniella sol,4,4,0,100.0,2,2,1,1
Sphyraena jello,4,3,1,75.0,4,1,1,1
Ceratium furca,4,4,0,100.0,2,2,1,1
Ceratium fusus,4,4,0,100.0,2,2,1,1
Chauliodus pammelas,4,4,0,100.0,2,2,1,1
Rhizosolenia hebetata,4,4,0,100.0,2,2,1,1
Eucampia zodiacus,4,4,0,100.0,2,2,1,1
Noctiluca scintillans,4,4,0,100.0,2,2,1,1
Sigmops elongatus,4,4,0,100.0,2,2,1,1
Vinciguerria nimbaria,3,3,0,100.0,1,3,1,1
Stereomastis sculpta,3,0,3,0.0,1,1,2,2
Astropecten polyacanthus,3,2,1,66.67,2,1,2,1
Sculpsitechinus auritus,3,0,3,0.0,1,1,2,2
Fragilaria oceanica,3,3,0,100.0,2,2,2,2
Asterionella japonica,3,3,0,100.0,2,2,2,2
Ophiomastix elegans,3,2,1,66.67,2,2,2,2
Paramicrolaimus damodarani,3,3,0,100.0,2,2,2,2
Paralomis indica,3,2,1,66.67,2,2,2,2
Lovenia elongata,3,3,0,100.0,1,3,1,1
Munidopsis wardeni,3,2,1,66.67,2,2,2,1
Johannaster superbus,3,3,0,100.0,3,3,3,3
Nephropsis carpenteri,3,2,1,66.67,2,2,3,3
Dendrodoris nigra,3,2,1,66.67,2,2,2,1
Charybdis (Archias) hoplites,3,3,0,100.0,1,3,1,1
Diaphus garmani,3,3,0,100.0,2,2,2,2
Pseudoceros paralaticlavus,3,0,3,0.0,1,1,2,2
Dictyocysta lepida,3,2,1,66.67,3,1,1,1
Polyodontes maxillosus,3,3,0,100.0,2,2,2,1
Homolodromia rajeevani,3,0,3,0.0,1,1,2,2
Ophiochiton ambulator,3,3,0,100.0,2,2,2,1
Babylonia spirata,2,2,0,100.0,2,1,1,1
Thalassionema frauenfeldii,2,2,0,100.0,2,1,1,1
Calappa exanthematosa,2,1,1,50.0,1,2,1,1
Skeletonema costatum,2,2,0,100.0,1,2,1,1
Rhizosolenia hyalina,2,2,0,100.0,1,2,1,1
Chaunax apus,2,2,0,100.0,1,2,1,1
Phyllacanthus forcipulatus,2,2,0,100.0,2,1,1,1
Proboscia alata,2,2,0,100.0,2,1,1,1
Pseudoceros galatheensis,2,1,1,50.0,2,1,1,1
Pseudoceros duplicinctus,2,1,1,50.0,2,1,1,1
Protoperidinium oceanicum,2,2,0,100.0,1,2,1,1
Pseudo-nitzschia seriata,2,2,0,100.0,1,2,1,1
Prorocentrum lima,2,2,0,100.0,1,2,1,1
Dinophysis miles,2,2,0,100.0,2,1,1,1
Codonella nationalis,2,1,1,50.0,2,1,1,1
Cistopus sp.,2,2,0,100.0,2,1,1,1
Chaetoceros decipiens,2,2,0,100.0,1,2,1,1
Coscinodiscus centralis,2,2,0,100.0,2,1,1,1
Pyrophacus steinii,2,2,0,100.0,1,2,1,1
Quollastria gonypetes,2,2,0,100.0,2,1,1,1
Gonyaulax polygramma,2,2,0,100.0,1,2,1,1
Guinardia flaccida,2,2,0,100.0,1,2,1,1
Navicula directa,2,2,0,100.0,1,2,1,1
Nitzschia longissima,2,2,0,100.0,1,2,1,1
Nitzschia pungens,2,2,0,100.0,1,2,1,1
Octopus sp.,2,2,0,100.0,1,2,1,1
Ophiacantha dallasii,2,2,0,100.0,1,2,1,1
Octactis octonaria,2,2,0,100.0,2,1,1,1
Haslea wawrikae,2,2,0,100.0,1,2,1,1
Hemiaulus sinensis,2,2,0,100.0,2,1,1,1
Peltodoris murrea,2,1,1,50.0,2,1,1,1
Mene maculata,2,2,0,100.0,1,2,1,1
Monomia,2,2,0,100.0,2,1,1,1
Tintinnopsis mortensenii,2,2,0,100.0,2,1,1,1
Thyone dura,2,2,0,100.0,1,2,1,1
Tintinnopsis beroidea,2,2,0,100.0,1,2,1,1
Amphisolenia bidentata,2,2,0,100.0,1,2,1,1
Amphipholis misera,2,2,0,100.0,2,1,1,1
Alpheus sp.,1,1,0,100.0,1,1,1,1
Amphiodia frigida,1,0,1,0.0,1,1,1,1
Amphiura (Amphiura) ambigua,1,1,0,100.0,1,1,1,1
Ancistrocheirus lesueurii,1,1,0,100.0,1,1,1,1
Aquilonastra burtoni,1,1,0,100.0,1,1,1,1
Arcania cornuta,1,1,0,100.0,1,1,1,1
Astronesthes martensii,1,0,1,0.0,1,1,1,1
Tintinnopsis directa,1,1,0,100.0,1,1,1,1
