target_cell_id,count,pct
CELL_09N_75E,247,8.09
CELL_12N_74E,239,7.83
CELL_08N_76E,237,7.76
CELL_07N_77E,231,7.57
CELL_11N_75E,219,7.17
CELL_06N_75E,114,3.73
CELL_10N_72E,112,3.67
CELL_11N_65E,97,3.18
CELL_13N_65E,95,3.11
CELL_10N_75E,83,2.72
CELL_23N_66E,81,2.65
CELL_09N_76E,73,2.39
CELL_18N_65E,73,2.39
CELL_10N_65E,70,2.29
CELL_08N_73E,70,2.29
CELL_19N_69E,67,2.19
CELL_20N_70E,67,2.19
CELL_18N_67E,64,2.1
CELL_23N_65E,62,2.03
CELL_14N_73E,53,1.74
CELL_15N_73E,50,1.64
CELL_13N_74E,43,1.41
CELL_08N_70E,42,1.38
CELL_11N_74E,41,1.34
CELL_09N_73E,36,1.18
CELL_21N_70E,35,1.15
CELL_12N_73E,32,1.05
CELL_08N_75E,29,0.95
CELL_12N_75E,29,0.95
CELL_21N_69E,29,0.95
CELL_07N_76E,28,0.92
CELL_14N_74E,26,0.85
CELL_21N_66E,22,0.72
CELL_17N_70E,16,0.52
CELL_08N_77E,16,0.52
CELL_18N_68E,14,0.46
CELL_22N_66E,14,0.46
CELL_08N_78E,12,0.39
CELL_15N_65E,12,0.39
CELL_10N_76E,11,0.36
CELL_22N_69E,11,0.36
CELL_17N_72E,11,0.36
CELL_18N_70E,11,0.36
CELL_16N_69E,10,0.33
CELL_21N_65E,8,0.26
CELL_11N_72E,8,0.26
CELL_18N_71E,7,0.23
CELL_20N_68E,7,0.23
CELL_09N_78E,6,0.2
CELL_15N_72E,6,0.2
CELL_18N_72E,5,0.16
CELL_19N_73E,5,0.16
CELL_20N_74E,5,0.16
CELL_20N_75E,5,0.16
CELL_22N_68E,5,0.16
CELL_10N_73E,5,0.16
CELL_15N_71E,4,0.13
CELL_06N_70E,4,0.13
CELL_11N_73E,4,0.13
CELL_13N_75E,3,0.1
CELL_13N_76E,3,0.1
CELL_14N_77E,3,0.1
CELL_16N_68E,3,0.1
CELL_10N_68E,2,0.07
CELL_11N_69E,2,0.07
CELL_12N_70E,2,0.07
CELL_15N_68E,2,0.07
CELL_20N_65E,2,0.07
CELL_09N_74E,2,0.07
CELL_10N_74E,2,0.07
CELL_08N_74E,2,0.07
CELL_19N_67E,1,0.03
CELL_13N_73E,1,0.03
CELL_19N_65E,1,0.03
CELL_13N_72E,1,0.03
CELL_20N_69E,1,0.03
CELL_10N_67E,1,0.03
CELL_14N_72E,1,0.03
