scientific_name,month,season_name,current_sector,target_sector,transition_count
Alepes kleinii,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,35
Alepes kleinii,5,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,24
Alepes kleinii,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,12
Alepes kleinii,8,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,10
Amphioplus (Lymanella) depressus,7,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,16
Amphioplus (Lymanella) depressus,9,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,12
Amphioplus (Lymanella) depressus,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,10
Amphioplus (Lymanella) depressus,10,Post-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,10
Amphioplus (Lymanella) depressus,9,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,6
Amphioplus (Lymanella) depressus,2,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,5
Amphioplus (Lymanella) depressus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,5
Amphioplus (Lymanella) depressus,10,Post-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,5
Amphioplus (Lymanella) depressus,2,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,2
Amphioplus (Lymanella) depressus,7,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Amphioplus (Lymanella) depressus,12,Post-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Amphioplus (Lymanella) depressus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Amphioplus (Lymanella) depressus,6,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,1
Clypeaster rarispinus,5,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,15
Clypeaster rarispinus,8,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,9
Clypeaster rarispinus,2,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,8
Clypeaster rarispinus,12,Post-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,8
Clypeaster rarispinus,5,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,6
Clypeaster rarispinus,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,6
Clypeaster rarispinus,8,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,3
