scientific_name,current_cell_id,current_sector,month,season_name,target_cell_id,target_sector,target_month,target_season_name,displacement_distance_km,target_direction_deg
Trichiurus lepturus,CELL_22N_69E,North Arabian Sea / Gujarat Shelf,1,Post-Monsoon,CELL_07N_77E,Wadge Bank / Comorin Sector,5,Pre-Monsoon,1884.21,150.42
Astronesthes indopacificus,CELL_08N_76E,Malabar Upwelling Shelf,10,Post-Monsoon,CELL_21N_66E,North Arabian Sea / Gujarat Shelf,1,Post-Monsoon,1850.99,326.28
Mugil cephalus,CELL_07N_77E,Wadge Bank / Comorin Sector,6,SW Monsoon,CELL_22N_69E,North Arabian Sea / Gujarat Shelf,1,Post-Monsoon,1845.2,333.0
Sagitta robusta,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Krohnitta subtilis,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Sagitta ferox,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Sagitta pacifica,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Sagitta enflata,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Sagitta neglecta,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Sagitta bipunctata,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_65E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1844.13,326.79
Astronesthes indopacificus,CELL_08N_75E,Malabar Upwelling Shelf,10,Post-Monsoon,CELL_21N_66E,North Arabian Sea / Gujarat Shelf,1,Post-Monsoon,1829.6,327.27
Sagitta bedoti,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta hexaptera,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta bipunctata,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Pterosagitta draco,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta neglecta,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta pacifica,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta pulchra,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Sagitta enflata,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
Krohnitta subtilis,CELL_09N_75E,Malabar Upwelling Shelf,1,Post-Monsoon,CELL_23N_66E,North Arabian Sea / Gujarat Shelf,3,Pre-Monsoon,1829.1,328.5
