feature,gain,weight,gain_pct
markov_prior_0,17.299808502197266,671.0,16.63
markov_prior_1,16.499319076538086,560.0,15.86
markov_prior_2,10.998825073242188,407.0,10.57
markov_prior_4,9.706551551818848,379.0,9.33
markov_prior_5,9.595330238342285,367.0,9.22
markov_prior_3,9.528135299682617,315.0,9.16
markov_prior_6,8.18701457977295,270.0,7.87
month_cos,3.469499111175537,202.0,3.33
sector_code,3.2381160259246826,73.0,3.11
current_lon,2.4129302501678467,538.0,2.32
season_code,2.395289182662964,45.0,2.3
month_sin,1.8325588703155518,242.0,1.76
historical_occurrence_rate,1.7070926427841187,582.0,1.64
mean_depth_meters,1.6303434371948242,732.0,1.57
delta_t,1.4244145154953003,183.0,1.37
current_lat,1.0786936283111572,520.0,1.04
species_code,1.0516029596328735,535.0,1.01
salinity_psu,0.8568853735923767,7.0,0.82
sst_celsius,0.7696390151977539,33.0,0.74
chlorophyll_mg_m3,0.36536866426467896,1.0,0.35
dissolved_oxygen_mgl,0.0,0.0,0.0
has_environmental_context,0.0,0.0,0.0
