image_path,relative_path,filename,species_id,species_name,common_name,family,tracking_id,fish_id,width,height,aspect_ratio,channels,mode,format,file_size_bytes,md5,is_duplicate
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000000249596_03656.png,raw\images\species_02\fish_000000249596_03656.png,fish_000000249596_03656.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000000249596,03656,240,173,1.387,3,RGB,PNG,49257,fd8fc2ca01123b4db017a2ee1c1aef9f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000000249596_03658.png,raw\images\species_02\fish_000000249596_03658.png,fish_000000249596_03658.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000000249596,03658,224,172,1.302,3,RGB,PNG,41231,44795b4469a10a70cfb2d33715b084af,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000000249596_03660.png,raw\images\species_02\fish_000000249596_03660.png,fish_000000249596_03660.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000000249596,03660,227,176,1.29,3,RGB,PNG,39580,292a4c3bfaaa9d837c1638c3e05d2d04,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000000249596_03662.png,raw\images\species_02\fish_000000249596_03662.png,fish_000000249596_03662.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000000249596,03662,199,162,1.228,3,RGB,PNG,29004,3fe21884fdf6162d15a1dd57fa4e9304,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005349596_03789.png,raw\images\species_02\fish_000005349596_03789.png,fish_000005349596_03789.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005349596,03789,104,116,0.897,3,RGB,PNG,18013,5c53caf2604a3ec10e321e8ae4ae175b,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005569596_03804.png,raw\images\species_02\fish_000005569596_03804.png,fish_000005569596_03804.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005569596,03804,196,159,1.233,3,RGB,PNG,45697,51cd3a1b66fe4a93ace6b7860479521c,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005569596_03820.png,raw\images\species_02\fish_000005569596_03820.png,fish_000005569596_03820.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005569596,03820,107,103,1.039,3,RGB,PNG,22752,3a142f779821fa93f031d42c19b6e968,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005579596_03805.png,raw\images\species_02\fish_000005579596_03805.png,fish_000005579596_03805.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005579596,03805,76,62,1.226,3,RGB,PNG,8612,7849e5989b6df6502577003177ac45e1,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005579596_03807.png,raw\images\species_02\fish_000005579596_03807.png,fish_000005579596_03807.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005579596,03807,71,59,1.203,3,RGB,PNG,7443,a75dbfb0cc058d8fa208ffccd053efbb,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005579596_03809.png,raw\images\species_02\fish_000005579596_03809.png,fish_000005579596_03809.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005579596,03809,67,55,1.218,3,RGB,PNG,6511,6e1af6d09f1a2fd111eb544cb7156adf,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005579596_03812.png,raw\images\species_02\fish_000005579596_03812.png,fish_000005579596_03812.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005579596,03812,63,54,1.167,3,RGB,PNG,5836,91d505b07bb3b8a0326d29e56cc07535,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000005579596_03815.png,raw\images\species_02\fish_000005579596_03815.png,fish_000005579596_03815.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000005579596,03815,44,48,0.917,3,RGB,PNG,3662,3fa60d849c9ad04498e0bc9c9386109f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007479596_03841.png,raw\images\species_02\fish_000007479596_03841.png,fish_000007479596_03841.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007479596,03841,139,116,1.198,3,RGB,PNG,19679,ad2bfd4a3e8c3ab05682eccd064e0a72,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03842.png,raw\images\species_02\fish_000007609596_03842.png,fish_000007609596_03842.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03842,87,67,1.299,3,RGB,PNG,8809,b0f9b8e69292083af61cabaeb8ce6c32,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03843.png,raw\images\species_02\fish_000007609596_03843.png,fish_000007609596_03843.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03843,87,65,1.338,3,RGB,PNG,9239,de547a9d1148cdf175d8bc8f653afa3b,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03844.png,raw\images\species_02\fish_000007609596_03844.png,fish_000007609596_03844.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03844,67,56,1.196,3,RGB,PNG,6472,df52134684b1cf102376709440671705,False
