image_path,relative_path,filename,species_id,species_name,common_name,family,tracking_id,fish_id,width,height,aspect_ratio,channels,mode,format,file_size_bytes,md5,is_duplicate,split
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003817186126_13041.png,raw\images\species_08\fish_003817186126_13041.png,fish_003817186126_13041.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3817186126,13041,124,102,1.216,3,RGB,PNG,12734,9396f8e2c867df0d9c05f999e55e241e,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03226.png,raw\images\species_08\fish_000034240001_03226.png,fish_000034240001_03226.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3226,84,77,1.091,3,RGB,PNG,11098,730ad4f884ac1fe19e486a0a4b029bff,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03227.png,raw\images\species_08\fish_000034240001_03227.png,fish_000034240001_03227.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3227,80,77,1.039,3,RGB,PNG,9887,b9ae79c6b976b108aa71c1239eb8c933,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03228.png,raw\images\species_08\fish_000034240001_03228.png,fish_000034240001_03228.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3228,79,84,0.94,3,RGB,PNG,10776,9a93cb8e7c5c7b7d4f1b7c40d1a338a2,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03229.png,raw\images\species_08\fish_000034240001_03229.png,fish_000034240001_03229.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3229,77,84,0.917,3,RGB,PNG,10967,4487d5e6f649d1d03f8814e2ac1ed576,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03231.png,raw\images\species_08\fish_000034240001_03231.png,fish_000034240001_03231.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3231,76,75,1.013,3,RGB,PNG,10097,b7a8ac26e56c3453a1074830db09eaed,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03232.png,raw\images\species_08\fish_000034240001_03232.png,fish_000034240001_03232.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3232,83,73,1.137,3,RGB,PNG,10640,e093c6ad646851bfeb271b29166908f9,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034240001_03233.png,raw\images\species_08\fish_000034240001_03233.png,fish_000034240001_03233.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34240001,3233,80,69,1.159,3,RGB,PNG,9628,ee6449c799453f04fa06dd9d50f0b1d0,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003418245273_20574.png,raw\images\species_08\fish_003418245273_20574.png,fish_003418245273_20574.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3418245273,20574,183,132,1.386,3,RGB,PNG,40743,8090f7a836bf04a7815a1e9040640c3c,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000016839596_03983.png,raw\images\species_08\fish_000016839596_03983.png,fish_000016839596_03983.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,16839596,3983,68,52,1.308,3,RGB,PNG,5174,c8ab5f360bed8d8bee13bb21252b4701,False,train
