YEAR,MONTH,FISHING_GROUND_CODE,FLEET,FISHERY,GEAR,SPECIES,FISHING_DAYS,CATCH
2023,1,5102073,Maldives,Baitboat,Baitboat (offshore),Dogtooth tuna,164.0,0.010864803791
2023,1,5102073,Maldives,Baitboat,Baitboat (offshore),Rainbow runner,164.0,0.265411635465321
2023,1,5103074,Maldives,Baitboat,Baitboat (offshore),Common dolphinfish,72.0,0.0820447897701572
2023,1,5104073,Maldives,Line | Handline,Handline,Common dolphinfish,41.0,0.017461291806929
2023,1,5104074,Maldives,Baitboat,Baitboat,Common dolphinfish,98.0,0.0077605741364129
2023,1,5104074,Maldives,Line | Handline,Handline (offshore),Common dolphinfish,100.0,0.116408612046193
2023,1,5106073,Maldives,Baitboat,Baitboat,Common dolphinfish,28.0,0.647231882976836
2023,1,5106073,Maldives,Baitboat,Baitboat,Rainbow runner,28.0,0.0509093663348686
2023,1,5107074,Maldives,Baitboat,Baitboat,Common dolphinfish,3.0,0.242129913056083
2023,1,5107074,Maldives,Baitboat,Baitboat,Rainbow runner,3.0,0.0358538525102276
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Common dolphinfish,21050.0,444.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Whitecheek shark,21050.0,9.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Spottail shark,21050.0,18.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Silky shark,21050.0,46.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Oceanic whitetip shark,21050.0,4.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Milk shark,21050.0,63.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Shortfin mako,21050.0,3.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Great hammerhead,21050.0,1.0
2023,1,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Scalloped hammerhead,21050.0,1.0
2023,1,6120055,I. R. Iran,Gillnet,Gillnet,Common dolphinfish,5562.0,38.0
2023,1,6120055,I. R. Iran,Gillnet,Gillnet,Milk shark,5562.0,1.0
2023,1,6120060,I. R. Iran,Gillnet,Gillnet,Common dolphinfish,26011.0,383.0
2023,1,6120060,I. R. Iran,Gillnet,Gillnet,Whitecheek shark,26011.0,1.0
2023,1,6120060,I. R. Iran,Gillnet,Gillnet,Spottail shark,26011.0,3.0
2023,1,6120060,I. R. Iran,Gillnet,Gillnet,Silky shark,26011.0,4.0
2023,1,6120060,I. R. Iran,Gillnet,Gillnet,Milk shark,26011.0,7.0
2023,1,6120060,I. R. Iran,Line | Trolling,Troll line,Whitecheek shark,6328.0,1.0
2023,1,6120060,I. R. Iran,Line | Trolling,Troll line,Spottail shark,6328.0,2.0
2023,1,6120060,I. R. Iran,Line | Trolling,Troll line,Milk shark,6328.0,4.0
2023,1,6125045,I. R. Iran,Gillnet,Gillnet,Milk shark,465.0,1.0
2023,1,6125045,I. R. Iran,Line | Trolling,Troll line,Milk shark,211.0,1.0
2023,1,6125050,I. R. Iran,Gillnet,Gillnet,Common dolphinfish,21384.0,4.0
2023,1,6125050,I. R. Iran,Gillnet,Gillnet,Whitecheek shark,21384.0,2.0
2023,1,6125050,I. R. Iran,Gillnet,Gillnet,Spottail shark,21384.0,3.0
2023,1,6125050,I. R. Iran,Gillnet,Gillnet,Milk shark,21384.0,7.0
2023,1,6125050,I. R. Iran,Line | Trolling,Troll line,Whitecheek shark,5418.0,1.0
2023,1,6125050,I. R. Iran,Line | Trolling,Troll line,Spottail shark,5418.0,3.0
2023,1,6125050,I. R. Iran,Line | Trolling,Troll line,Milk shark,5418.0,7.0
2023,1,6125055,I. R. Iran,Gillnet,Gillnet,Common dolphinfish,13635.0,74.0
2023,1,6125055,I. R. Iran,Gillnet,Gillnet,Whitecheek shark,13635.0,4.0
2023,1,6125055,I. R. Iran,Gillnet,Gillnet,Spottail shark,13635.0,7.0
2023,1,6125055,I. R. Iran,Gillnet,Gillnet,Milk shark,13635.0,18.0
2023,1,6125055,I. R. Iran,Line | Trolling,Troll line,Whitecheek shark,4444.0,4.0
2023,1,6125055,I. R. Iran,Line | Trolling,Troll line,Spottail shark,4444.0,6.0
2023,1,6125055,I. R. Iran,Line | Trolling,Troll line,Milk shark,4444.0,18.0
2023,1,6125060,I. R. Iran,Gillnet,Gillnet,Common dolphinfish,3195.0,39.0
2023,1,6125060,I. R. Iran,Gillnet,Gillnet,Spottail shark,3195.0,1.0
2023,1,6125060,I. R. Iran,Gillnet,Gillnet,Milk shark,3195.0,2.0
2023,1,6125060,I. R. Iran,Line | Trolling,Troll line,Spottail shark,1252.0,1.0
2023,1,6125060,I. R. Iran,Line | Trolling,Troll line,Milk shark,1252.0,2.0
2023,1,6205040,Comoros,Line | Coastal longline,Coastal longline,Silky shark,19400.0,0.04212
2023,1,6205040,Comoros,Line | Handline,Handline,Blue shark,19180.9354847378,0.33314
2023,1,6205040,Comoros,Line | Trolling,Troll line,Blue shark,50050.6368455716,1.49162
2023,1,6205040,Comoros,Line | Trolling,Troll line,Silky shark,50050.6368455716,0.11461
2023,1,5120089,Bangladesh,Gillnet,Gillnet,Indian mackerel,935496.0,0.09
2023,1,5120089,Bangladesh,Line | Coastal longline,Coastal longline,Indian mackerel,4180.0,0.025
2023,1,5120089,Bangladesh,Other,Set bagnet,Indian mackerel,101650.0,0.008
2023,1,5120090,Bangladesh,Gillnet,Gillnet,Indian mackerel,965340.0,0.08
2023,1,5120090,Bangladesh,Line | Coastal longline,Coastal longline,Indian mackerel,3145.0,0.023
2023,1,5120090,Bangladesh,Other,Set bagnet,Indian mackerel,110143.0,0.012
2023,1,5120091,Bangladesh,Gillnet,Gillnet,Indian mackerel,971960.0,0.088
2023,1,5120091,Bangladesh,Line | Coastal longline,Coastal longline,Indian mackerel,3240.0,0.02
2023,1,5120091,Bangladesh,Other,Set bagnet,Indian mackerel,115380.0,0.011
2023,1,5120092,Bangladesh,Gillnet,Gillnet,Indian mackerel,976800.0,0.085
2023,1,5120092,Bangladesh,Line | Coastal longline,Coastal longline,Indian mackerel,3072.0,0.015
